749;Yıkılmadım;0:5:9;\N
750;A Magical Place;0:4:41;\N
751;Coloured Kisses;0:4:37;\N
752;Love... Thy Will Be Done;0:4:58;\N
753;Martika's Kitchen;0:5:8;\N
754;Temptation;0:4:46;\N
755;Toy Soldiers;0:4:48;\N
756;Amazing;0:4:0;\N
757;Hit My Heart;0:3:18;\N
758;Lately;0:5:21;\N
759;Porcelain;0:5:40;\N
760;Run for Your Life;0:4:6;\N
761;Starlight;0:4:19;\N
762;When You Were My Girl;0:2:56;\N
763;All About That Bass;0:3:9;\N
764;Better When I'm Dancin';0:2:56;\N
765;Dear Future Husband;0:3:5;\N
766;Like I'm Gonna Lose You;0:3:43;\N
767;Lips Are Movin;0:3:3;\N
768;Me Too;0:3:1;\N
769;No;0:3:34;\N
770;Walkashame;0:2:58;\N
